MetaMessage type: track_name, time: 0, actual_time: 0
type: program_change, time: 0, actual_time: 0
type=note_on channel=0 note=57 velocity=0 time=48 actual_time=43848
type=note_on channel=0 note=57 velocity=80 time=12 actual_time=43860
type=note_on channel=0 note=57 velocity=0 time=96 actual_time=43956
type=note_on channel=0 note=57 velocity=80 time=24 actual_time=43980
type=note_on channel=0 note=57 velocity=0 time=96 actual_time=44076
type=note_on channel=0 note=54 velocity=80 time=24 actual_time=44100
type=note_on channel=0 note=54 velocity=0 time=156 actual_time=44256
type=note_on channel=0 note=54 velocity=80 time=24 actual_time=44280
type=note_on channel=0 note=54 velocity=0 time=96 actual_time=44376
type=note_on channel=0 note=54 velocity=80 time=24 actual_time=44400
type=note_on channel=0 note=54 velocity=0 time=96 actual_time=44496
type=note_on channel=0 note=54 velocity=80 time=24 actual_time=44520
type=note_on channel=0 note=54 velocity=0 time=48 actual_time=44568
type=note_on channel=0 note=54 velocity=80 time=12 actual_time=44580
type=note_on channel=0 note=54 velocity=0 time=144 actual_time=44724
type=note_on channel=0 note=54 velocity=80 time=96 actual_time=44820
type=note_on channel=0 note=54 velocity=0 time=48 actual_time=44868
type=note_on channel=0 note=54 velocity=80 time=12 actual_time=44880
type=note_on channel=0 note=54 velocity=0 time=48 actual_time=44928
type=note_on channel=0 note=54 velocity=80 time=12 actual_time=44940
type=note_on channel=0 note=54 velocity=0 time=144 actual_time=45084
type=note_on channel=0 note=62 velocity=80 time=36 actual_time=45120
type=note_on channel=0 note=62 velocity=0 time=48 actual_time=45168
type=note_on channel=0 note=62 velocity=80 time=12 actual_time=45180
type=note_on channel=0 note=62 velocity=0 time=144 actual_time=45324
type=note_on channel=0 note=62 velocity=80 time=36 actual_time=45360
type=note_on channel=0 note=62 velocity=0 time=48 actual_time=45408
type=note_on channel=0 note=62 velocity=80 time=12 actual_time=45420
type=note_on channel=0 note=62 velocity=0 time=96 actual_time=45516
type=note_on channel=0 note=61 velocity=80 time=24 actual_time=45540
type=note_on channel=0 note=61 velocity=0 time=192 actual_time=45732
type=note_on channel=0 note=59 velocity=80 time=468 actual_time=46200
